,Title,Word_Count,Links,Hashtags,User_Mentions,Favorite,Retweet
0,"Siguiente por favor. 

https://t.co/FnIEpHPBqM https://t.co/QXpZR6TA8q",5,2,0,0,0,0
1,"El presidente de Ecuador, Guillermo Lasso, anunció el viernes la concreción de la adquisición de seis millones de vacunas CanSino contra la covid-19, que son de un sola dosis de aplicación. https://t.co/2G5gCzuM42",32,0,0,0,1,0
2,@sukamonsalve @nessateran Es la traducción de Guillermo Lasso,8,0,0,2,0,0
3,@ing_carlos87 @LorenPAlvarez Sufran correistas enfermos. El Ecuador resurge con quien será el mejor presidente de la historia Guillermo Lasso.,19,0,0,2,0,0
4,"Si Guillermo Lasso cumple su plan de vacunación, legítima sus primeros meses de gobierno más que cualquier consulta popular.",19,0,0,0,1,0
5,"El fascista Guillermo Lasso amenazó a grupos sociales que no se organizen para ejercer legítimo derecho a la protesta, que eso desestabilizaría su ya delicado estado de gobierno
""EL GOBIERNO DEL ENCUENTRO"", es un bebé que nació muerto, hay que ver el odio visceral de los #Lassies https://t.co/ck2VX5Zph9",48,1,1,0,0,0
6,"Guillermo Lasso dice que no habrá sabatinas porque son gastos excesivos
Para que va a necesitar sabatinas si para eso TIENE A LOS MEDIOS DE COMUNICACIÓN y paga en PAUTAS QUE ESTOY SEGURO QUE SALE MAS CARO PORQUE LAS PROPAGANDAS EN LOS MEDIOS NO ES NADA BARATO
#NoComemosCuento",48,0,1,0,0,0
7,"@CarlosVerareal Si en el gabinete de Guillermo Lasso, estan correistas y Morenistas y Embajadores ratificados, que pobreza de pais.",19,0,0,1,0,0
8,"@BNPeriodismo Pasaron ahora a servir a Guillermo Lasso, q asco de gobiermo",12,0,0,1,0,0
9,LEONIDAS IZA A GUILLERMO LASSO: PARE CON EL FMI Y HAGA ACUERDOS CON EL P... https://t.co/LsD3SxfJpR via @YouTube,18,1,0,1,0,0
10,"👹FASCISTA LASSO, ENVÍA MENSAJE DE APOYO A FASCISTA IVÁN DUQUE👹👹
#VotoOdio 
Guillermo Lasso repite el discurso de #Moreno, echa la culpa a líderes progresistas de hacer protestas en la región. 
Además, Lasso, se solidariza con su homólogo Iván Duque.

#LassoEsMorenoTriplicado https://t.co/RT8C2CV7um",41,0,3,0,2,1
11,"CONOZCA al Verdadero GUILLERMO LASSO JURA  ""MANO DURA SI HAY UN NUEVO OC... https://t.co/aFcdur92V0 via @YouTube",16,1,0,1,1,1
12,"@APACHE_EC El gobierno de Guillermo Lasso ha sido el del reencuentro con los correístas y del reparto del país a todos los delincuentes para que sigan robando!!!

Mientras tanto a los ecuatorianos honestos altamente calificados no les toman en cuenta!!!",40,0,0,1,1,0
13,Ecuador: Guillermo Lasso participará en conferencia en solidaridad con venezolanos https://t.co/4VTZuTfLD8,11,1,0,0,0,0
